,job_name,date_posted,job_type,job_loc,exp
0,Machine Learning Engineer,60 days ago,Full-time,Hyderabad,3-5Years
1,Engineering Lead,60 days ago,Full-time,Mauritius,7-18Years
2,Sr SDET,60 days ago,Full-time,NewYork,3-10Years
3,OSS DevOps Engineer,60 days ago,Full-time,Hyderabad,6-12Years
4,Site Reliability Engineer,60 days ago,Full-time,NewYork,1-3Years
5,Lead DevOps Engineer ,60 days ago,Full-time,Hyderabad,5-11Years
6,Senior DevOps Engineer,60 days ago,Full-time,Hyderabad,3-10Years
7,Junior Cloud Native Developer,60 days ago,Full-time,Delaware,1-2Years
10,Sr Full Stack Developer,30 days ago,Full-time,Mauritius,3-8Years
8,Blockchain Developer,30 days ago,Full-time,Hyderabad,1-4Years
9,Sr SAP PI/PO Developer,30 days ago,Contract,NewJersey,7-12Years
11,Associate Cloud Engineer,30 days ago,Full-time,Hyderabad,0-3Years
12,Android Mobile Developer,30 days ago,Full-time,mauritius,3-8Years
14,SOA Consultant,30 days ago,Full-time,Hyderabad,0-1Years
15,Sr. Microservices Developer,30 days ago,Full-time,Hyderabad,4-9Years
13,Solution Architect,20 days ago,Full-time,Hyderabad,9-15Years
16,Associate QA Engineer,20 days ago,Full-time,Hyderabad,1-3Years
17,System Engineer,19 days ago,Internship,Mauritius,0-1Years
18,Networking & Security Specialist,19 days ago,Full-time,Hyderabad,2-6Years
19,Embedded Engineer,14 days ago,Full-time,Hyderabad,2-4Years
20,Data Scientist Intern,13 days ago,Internship,Hyderabad,0-4Years
21,Cloud Native Developer,11 days ago,Full-time,Hyderabad,2-5Years
22,Senior Cloud Specialist,10 days ago,Full-time,Singapore,5-10Years
23,Big Data Intern,6 days ago,Internship,Hyderabad,0-2Years
